"anio","unidad_legal_tipo","codigo_provincia","plazas_totales"
2018,"Persona Jurídica","07",18899
2018,"Persona Jurídica","08",9121
2018,"Persona Jurídica","09",294192
2018,"Persona Jurídica","10",10754
2018,"Persona Jurídica","11",15981
2018,"Persona Jurídica","12",13608
2018,"Persona Jurídica","13",29037
2018,"Persona Jurídica","14",2633
2018,"Persona Jurídica","15",1990
2018,"Persona Jurídica","16",914
2018,"Persona Jurídica","17",295728
2018,"Persona Jurídica","18",767
2018,"Persona Jurídica","19",93
2018,"Persona Jurídica","20",525
2018,"Persona Jurídica","21",1356
2018,"Persona Jurídica","22",1716
2018,"Persona Jurídica","23",4281
2018,"Persona Jurídica","24",6952
2018,"Persona Natural","01",19933
2018,"Persona Natural","02",1082
2018,"Persona Natural","03",3266
2018,"Persona Natural","04",1619
2018,"Persona Natural","05",4511
2018,"Persona Natural","06",6537
2018,"Persona Natural","07",10961
2018,"Persona Natural","08",2677
2018,"Persona Natural","09",38856
2018,"Persona Natural","10",6332
2018,"Persona Natural","11",6283
2018,"Persona Natural","12",5369
2018,"Persona Natural","13",11729
2018,"Persona Natural","14",1088
2018,"Persona Natural","15",665
2018,"Persona Natural","16",771
2018,"Persona Natural","17",52496
2018,"Persona Natural","18",2449
2018,"Persona Natural","19",365
2018,"Persona Natural","20",516
2018,"Persona Natural","21",1076
2018,"Persona Natural","22",663
2018,"Persona Natural","23",5619
2018,"Persona Natural","24",1759
2019,"Persona Jurídica","01",59340
2019,"Persona Jurídica","02",4775
2019,"Persona Jurídica","03",5708
2019,"Persona Jurídica","04",4476
2019,"Persona Jurídica","05",9657
2019,"Persona Jurídica","06",14776
2019,"Persona Jurídica","07",18792
2019,"Persona Jurídica","08",8758
2019,"Persona Jurídica","09",292885
2019,"Persona Jurídica","10",10647
2019,"Persona Jurídica","11",16392
2019,"Persona Jurídica","12",13737
2019,"Persona Jurídica","13",28481
2019,"Persona Jurídica","14",2688
2019,"Persona Jurídica","15",2132
2019,"Persona Jurídica","16",773
2019,"Persona Jurídica","17",292413
2019,"Persona Jurídica","18",649
2019,"Persona Jurídica","19",65
2019,"Persona Jurídica","20",546
2019,"Persona Jurídica","21",1481
2019,"Persona Jurídica","22",1711
2019,"Persona Jurídica","23",4093
2019,"Persona Jurídica","24",6087
2019,"Persona Natural","01",19099
2019,"Persona Natural","02",1048
2019,"Persona Natural","03",3173
2019,"Persona Natural","04",1485
2019,"Persona Natural","05",4326
2019,"Persona Natural","06",6324
2019,"Persona Natural","07",10796
2019,"Persona Natural","08",2517
2019,"Persona Natural","09",37031
2019,"Persona Natural","10",6180
2019,"Persona Natural","11",6186
2019,"Persona Natural","12",5175
2019,"Persona Natural","13",11467
2019,"Persona Natural","14",1047
2019,"Persona Natural","15",641
2019,"Persona Natural","16",732
2019,"Persona Natural","17",49505
2019,"Persona Natural","18",2396
2019,"Persona Natural","19",365
2019,"Persona Natural","20",488
2019,"Persona Natural","21",1077
2019,"Persona Natural","22",677
2019,"Persona Natural","23",5531
2019,"Persona Natural","24",1723
2020,"Persona Jurídica","01",54889
2020,"Persona Jurídica","02",4697
2020,"Persona Jurídica","03",5762
2020,"Persona Jurídica","04",4358
2020,"Persona Jurídica","05",9319
2020,"Persona Jurídica","06",14198
2020,"Persona Jurídica","07",18521
2020,"Persona Jurídica","08",8343
2020,"Persona Jurídica","09",277718
2020,"Persona Jurídica","10",10490
2020,"Persona Jurídica","11",15962
2020,"Persona Jurídica","12",13562
2020,"Persona Jurídica","13",28481
2020,"Persona Jurídica","14",2536
2020,"Persona Jurídica","15",1894
2020,"Persona Jurídica","16",725
2020,"Persona Jurídica","17",271611
2020,"Persona Jurídica","18",377
2020,"Persona Jurídica","19",55
2020,"Persona Jurídica","20",481
2020,"Persona Jurídica","21",1462
2020,"Persona Jurídica","22",1664
2020,"Persona Jurídica","23",3945
2020,"Persona Jurídica","24",5373
2020,"Persona Natural","01",16564
2020,"Persona Natural","02",970
2020,"Persona Natural","03",2883
2020,"Persona Natural","04",1274
2020,"Persona Natural","05",3752
2020,"Persona Natural","06",5740
2020,"Persona Natural","07",9769
2020,"Persona Natural","08",2218
2020,"Persona Natural","09",32685
2020,"Persona Natural","10",5256
2020,"Persona Natural","11",5562
2020,"Persona Natural","12",4720
2020,"Persona Natural","13",10100
2020,"Persona Natural","14",956
2020,"Persona Natural","15",573
2020,"Persona Natural","16",647
2020,"Persona Natural","17",43325
2020,"Persona Natural","18",1912
2020,"Persona Natural","19",356
2020,"Persona Natural","20",380
2020,"Persona Natural","21",950
2020,"Persona Natural","22",580
2020,"Persona Natural","23",4848
2020,"Persona Natural","24",1574
